grupo,rol,id_aviso,id_original,confianza,similitud_descripcion,senales,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,dormitorios,banos,direccion,antiguedad_aviso_dias,url
1,ORIGINAL,2037594367,,ALTA,1.00,descripcion_muy_similar | titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | coordenadas_iguales,Edificio Froilán Lagos Sepúlveda (1 Bod.) Vista Surponien,la-florida,departamento,arriendo,,320000.0,25,,1,"Froilán Lagos Sepúlveda 1360, Plaza Vespucio, La Florida",51,https://portalinmobiliario.com/MLC-2037594367-edificio-froilan-lagos-sepulveda-1-bod-vista-surponien-_JM
1,DUPLICADO,2037488087,2037594367,ALTA,1.00,descripcion_muy_similar | titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | coordenadas_iguales,Edificio Froilán Lagos Sepúlveda (1 Bod.) Vista Surponien,la-florida,departamento,arriendo,,320000.0,25,,1,"Froilán Lagos Sepúlveda 1360, Plaza Vespucio, La Florida",33,https://portalinmobiliario.com/MLC-2037488087-edificio-froilan-lagos-sepulveda-1-bod-vista-surponien-_JM
1,DUPLICADO,4182740994,2037594367,ALTA,1.00,descripcion_muy_similar | titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | coordenadas_iguales,Edificio Froilán Lagos Sepúlveda Vista Sur Piso 8,la-florida,departamento,arriendo,,320000.0,26,,1,"Froilán Lagos Sepúlveda 1360, Plaza Vespucio, La Florida",13,https://portalinmobiliario.com/MLC-4182740994-edificio-froilan-lagos-sepulveda-vista-sur-piso-8-_JM
1,DUPLICADO,4182740996,2037594367,ALTA,1.00,descripcion_muy_similar | titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | coordenadas_iguales,Edificio Froilán Lagos Sepúlveda Vista Sur Piso 9,la-florida,departamento,arriendo,,320000.0,26,,1,"Froilán Lagos Sepúlveda 1360, Plaza Vespucio, La Florida",13,https://portalinmobiliario.com/MLC-4182740996-edificio-froilan-lagos-sepulveda-vista-sur-piso-9-_JM
2,ORIGINAL,2956134200,,ALTA,0.13,precio_identico | m2_util_identico | dormitorios_banos_iguales | coordenadas_iguales,Mirador Azul,la-florida,departamento,arriendo,,380000.0,34,1,1,"Av. Vicuña Mackenna Poniente 6239, La Florida, Metro Mirador, La Florida",365,https://portalinmobiliario.com/MLC-2956134200-mirador-azul-_JM
2,DUPLICADO,4118617294,2956134200,ALTA,0.13,precio_identico | m2_util_identico | dormitorios_banos_iguales | coordenadas_iguales,"Depto. Amoblado 1d+1b, Metro Bellavista La Florida",la-florida,departamento,arriendo,9.3,380000.0,34,,1,"Av. Vicuña Mackenna Poniente 7189, La Florida, Plaza Vespucio, La Florida",30,https://portalinmobiliario.com/MLC-4118617294-depto-amoblado-1d1b-metro-bellavista-la-florida-_JM
2,DUPLICADO,2037561165,2956134200,ALTA,0.13,precio_identico | m2_util_identico | dormitorios_banos_iguales | coordenadas_iguales,Edificio Mirador Azul Vista Sur Piso 7,la-florida,departamento,arriendo,,380000.0,34,1,1,"Vicuña Mackenna Poniente 6239, Metro Mirador, La Florida",24,https://portalinmobiliario.com/MLC-2037561165-edificio-mirador-azul-vista-sur-piso-7-_JM
2,DUPLICADO,2092205509,2956134200,ALTA,0.13,precio_identico | m2_util_identico | dormitorios_banos_iguales | coordenadas_iguales,"Depto. Amoblado 1d+1b, Metro Bellavista La Florida",la-florida,departamento,arriendo,,380000.0,34,1,1,"Av. Vicuña Mackenna Poniente 7189, La Florida, Plaza Vespucio, La Florida",,https://portalinmobiliario.com/MLC-2092205509-depto-amoblado-1d1b-metro-bellavista-la-florida-_JM
3,ORIGINAL,1958735947,,ALTA,0.55,precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | ano_construccion_identico | dormitorios_banos_iguales | coordenadas_iguales,Moderno Depto Piso 17 Con Terraza En Ñuñoa,nunoa,departamento,venta,4200.0,171548118,40,1,1,"San Eugenio, 300 - 600, Parque San Eugenio - Metro Ñuble, Ñuñoa",60,https://portalinmobiliario.com/MLC-1958735947-moderno-depto-piso-17-con-terraza-en-nunoa-_JM
3,DUPLICADO,2076407827,1958735947,ALTA,0.55,precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | ano_construccion_identico | dormitorios_banos_iguales | coordenadas_iguales,"Moderno Depto. En Ñuñoa, 1d,1b",nunoa,departamento,venta,4200.0,171548118,40,1,1,"San Eugenio, 300 - 600, Parque San Eugenio - Metro Ñuble, Ñuñoa",60,https://portalinmobiliario.com/MLC-2076407827-moderno-depto-en-nunoa-1d1b-_JM
3,DUPLICADO,3927236142,1958735947,ALTA,0.55,precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | ano_construccion_identico | dormitorios_banos_iguales | coordenadas_iguales,Departamento 1d 1b E + B Ñuñoa,nunoa,departamento,venta,4200.0,171548118,40,1,1,"San Eugenio, 300 - 600, Parque San Eugenio - Metro Ñuble, Ñuñoa",60,https://portalinmobiliario.com/MLC-3927236142-departamento-1d-1b-e-b-nunoa-_JM
3,DUPLICADO,4111946634,1958735947,ALTA,0.55,precio_identico | m2_util_identico | m2_total_identico | gastos_comunes_identicos | ano_construccion_identico | dormitorios_banos_iguales | coordenadas_iguales,Departamento 1d Vista Despejada Norte / Metro Irarrázaval,nunoa,departamento,venta,4200.0,171548118,40,,1,"Parque San Eugenio - Metro Ñuble, Ñuñoa",32,https://portalinmobiliario.com/MLC-4111946634-departamento-1d-vista-despejada-norte-metro-irarrazaval-_JM
