grupo,rol,id_aviso,id_original,confianza,similitud_descripcion,senales,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,dormitorios,banos,direccion,antiguedad_aviso_dias,url
1,ORIGINAL,3989437254,,ALTA,0.24,precio_identico | m2_util_identico | m2_total_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,Maravillosa Casa En Ñuñoa Gran Patio,nunoa,casa,venta,15850.0,647389922,253,,,"Av. Presidente José Batlle Y Ordóñez 4209, Ñuñoa, Parque Juan XXIII, Ñuñoa",270,https://portalinmobiliario.com/MLC-3989437254-maravillosa-casa-en-nunoa-gran-patio-_JM
1,DUPLICADO,1896971609,3989437254,ALTA,0.24,precio_identico | m2_util_identico | m2_total_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,Casa Con Gran Potencial Y Amplio Terreno En Ñuñoa,nunoa,casa,venta,15850.0,647389922,253,5,3,"Ñuñoa, Parque Juan XXIII",120,https://portalinmobiliario.com/MLC-1896971609-casa-con-gran-potencial-y-amplio-terreno-en-nunoa-_JM
1,DUPLICADO,3702262726,3989437254,ALTA,0.24,precio_identico | m2_util_identico | m2_total_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,Casa Antigua En Excelente Barrio De Ñuñoa,nunoa,casa,venta,15850.0,647389922,253,,,"Av. Presidente José Batlle Y Ordóñez 4209, Ñuñoa, Parque Juan XXIII, Ñuñoa",120,https://portalinmobiliario.com/MLC-3702262726-casa-antigua-en-excelente-barrio-de-nunoa-_JM
1,DUPLICADO,1984846723,3989437254,ALTA,0.24,precio_identico | m2_util_identico | m2_total_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,"Casa En Venta En Batlle Y Ordoñez, Ñuñoa",nunoa,casa,venta,15850.0,647389922,253,,,"Gran Casa En Venta En Batlle Y Ordoñez Con Augusto Villanueva, Parque Juan XXIII, Ñuñoa",54,https://portalinmobiliario.com/MLC-1984846723-casa-en-venta-en-batlle-y-ordonez-nunoa-_JM
2,ORIGINAL,3828443580,,ALTA,0.26,titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,"Hermosa Casa Estilo Español, En Venta Ñuñoa.",nunoa,casa,venta,19500.0,796473405,274,5,3,"Ñuñoa, Plaza Egaña",90,https://portalinmobiliario.com/MLC-3828443580-hermosa-casa-estilo-espanol-en-venta-nunoa-_JM
2,DUPLICADO,1960119001,3828443580,ALTA,0.26,titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,Casa En Venta De 5 Dorm. En Ñuñoa,nunoa,casa,venta,19500.0,796473405,274,,2,"Simón Bolívar, Ñuñoa",60,https://portalinmobiliario.com/MLC-1960119001-casa-en-venta-de-5-dorm-en-nunoa-_JM
2,DUPLICADO,3945304250,3828443580,ALTA,0.26,titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,"Amplia Casa En Venta En Ñuñoa, Excelente Ubicación",nunoa,casa,venta,19500.0,796473405,274,5,,"JUAN FRANCISCO GONZALEZ, 600 - 900, Ñuñoa",60,https://portalinmobiliario.com/MLC-3945304250-amplia-casa-en-venta-en-nunoa-excelente-ubicacion-_JM
2,DUPLICADO,4058694938,3828443580,ALTA,0.26,titulo_muy_similar | precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | estacionamientos_bodegas_iguales | coordenadas_iguales,Casa En Venta De 5 Dorm. 3 Baños En Ñuñoa,nunoa,casa,venta,19500.0,796473405,274,,,"Barrio Parque Botánico, Ñuñoa",48,https://portalinmobiliario.com/MLC-4058694938-casa-en-venta-de-5-dorm-3-banos-en-nunoa-_JM
3,ORIGINAL,1942669479,,ALTA,0.30,precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | coordenadas_iguales,Acogedora Casa En La Florida,la-florida,casa,venta,5141.41,210000000.0,69,3,1,"Cristina Beud, 8400 - 8700, Rojas Magallanes, La Florida",180,https://portalinmobiliario.com/MLC-1942669479-acogedora-casa-en-la-florida-_JM
3,DUPLICADO,3927238500,1942669479,ALTA,0.30,precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | coordenadas_iguales,Oportunidad Única Para Inversión Segura (161294),la-florida,casa,venta,5141.41,210000000.0,69,,1,"Cristina Beud 8400 - 8700, La Florida, Chile, Rojas Magallanes, La Florida",60,https://portalinmobiliario.com/MLC-3927238500-oportunidad-unica-para-inversion-segura-161294-_JM
3,DUPLICADO,4160978268,1942669479,ALTA,0.30,precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | coordenadas_iguales,"Oportunidad De Inversión, Excelente, La Florida",la-florida,casa,venta,5141.41,210000000.0,69,,1,"Vicuña Mackenna Con Los Pioneros, Rojas Magallanes, La Florida",46,https://portalinmobiliario.com/MLC-4160978268-oportunidad-de-inversion-excelente-la-florida-_JM
3,DUPLICADO,4089217660,1942669479,ALTA,0.30,precio_identico | m2_util_identico | m2_total_identico | ano_construccion_identico | coordenadas_iguales,Casa En Venta De 3 Dorm. 1 Baño,la-florida,casa,venta,5141.41,210000000.0,69,,1,"Los Pioneros 30, Rojas Magallanes, La Florida",39,https://portalinmobiliario.com/MLC-4089217660-casa-en-venta-de-3-dorm-1-bano-_JM
