id_eliminado,id_conservado,confianza,titulo_eliminado,precio_uf_eliminado,precio_clp_eliminado,m2_util,direccion,url
1896971609,3989437254,ALTA,Casa Con Gran Potencial Y Amplio Terreno En Ñuñoa,15850.0,647389922,253,"Ñuñoa, Parque Juan XXIII",https://portalinmobiliario.com/MLC-1896971609-casa-con-gran-potencial-y-amplio-terreno-en-nunoa-_JM
3702262726,3989437254,ALTA,Casa Antigua En Excelente Barrio De Ñuñoa,15850.0,647389922,253,"Av. Presidente José Batlle Y Ordóñez 4209, Ñuñoa, Parque Juan XXIII, Ñuñoa",https://portalinmobiliario.com/MLC-3702262726-casa-antigua-en-excelente-barrio-de-nunoa-_JM
1984846723,3989437254,ALTA,"Casa En Venta En Batlle Y Ordoñez, Ñuñoa",15850.0,647389922,253,"Gran Casa En Venta En Batlle Y Ordoñez Con Augusto Villanueva, Parque Juan XXIII, Ñuñoa",https://portalinmobiliario.com/MLC-1984846723-casa-en-venta-en-batlle-y-ordonez-nunoa-_JM
1960119001,3828443580,ALTA,Casa En Venta De 5 Dorm. En Ñuñoa,19500.0,796473405,274,"Simón Bolívar, Ñuñoa",https://portalinmobiliario.com/MLC-1960119001-casa-en-venta-de-5-dorm-en-nunoa-_JM
3945304250,3828443580,ALTA,"Amplia Casa En Venta En Ñuñoa, Excelente Ubicación",19500.0,796473405,274,"JUAN FRANCISCO GONZALEZ, 600 - 900, Ñuñoa",https://portalinmobiliario.com/MLC-3945304250-amplia-casa-en-venta-en-nunoa-excelente-ubicacion-_JM
4058694938,3828443580,ALTA,Casa En Venta De 5 Dorm. 3 Baños En Ñuñoa,19500.0,796473405,274,"Barrio Parque Botánico, Ñuñoa",https://portalinmobiliario.com/MLC-4058694938-casa-en-venta-de-5-dorm-3-banos-en-nunoa-_JM
1848921821,4051120268,ALTA,Departamento En Venta En Macul,2290.0,,45,"Avenida Américo Vespucio 4451, Metro Las Torres, Macul",https://portalinmobiliario.com/MLC-1848921821-departamento-en-venta-en-macul-_JM
3749246766,4051120268,ALTA,"Venta Depto. 2d/2b, Estac. Y Bodega Metro Las Torres, Macul",,92000000.0,45,"Av. Américo Vespucio 4451, Macul, Metro Las Torres, Macul",https://portalinmobiliario.com/MLC-3749246766-venta-depto-2d2b-estac-y-bodega-metro-las-torres-macul-_JM
4222354070,4051120268,ALTA,Departamento Avenida Américo Vespucio Id: 56293,3200.0,,45,"Avenida Américo Vespucio, Metro Las Torres, Macul",https://portalinmobiliario.com/MLC-4222354070-departamento-avenida-americo-vespucio-id-56293-_JM
4161004490,4120772484,ALTA,Hermoso Departamento En Macul De 2d 2b + E + B $ 225.000,,450000.0,47,"Av. Américo Vespucio 4601, Macul, Metro Las Torres, Macul",https://portalinmobiliario.com/MLC-4161004490-hermoso-departamento-en-macul-de-2d-2b-e-b-225000-_JM
2059587463,4120772484,ALTA,Departamento Avenida Américo Vespucio Id: 175227,,450000.0,46,"Avenida Américo Vespucio, Metro Las Torres, Macul",https://portalinmobiliario.com/MLC-2059587463-departamento-avenida-americo-vespucio-id-175227-_JM
2061518581,4120772484,ALTA,Metro Las Torres 2d 2b Nuevo (estacionamiento).,,490000.0,46,"Av. Américo Vespucio 4455, Macul, Metro Las Torres, Macul",https://portalinmobiliario.com/MLC-2061518581-metro-las-torres-2d-2b-nuevo-estacionamiento-_JM
2003296947,4160890432,ALTA,Departamento En Arriendo De 2d 2b Est Y Bod En Macul,,580000.0,62,"Armando Moock 3777, Villa Macul, Macul",https://portalinmobiliario.com/MLC-2003296947-departamento-en-arriendo-de-2d-2b-est-y-bod-en-macul-_JM
4116387896,4160890432,ALTA,Departamento En Arriendo De 2 Dorm. En Macul,,520000.0,61,"Armando Moock / Luis Valenzuela Aris, Villa Macul, Macul",https://portalinmobiliario.com/MLC-4116387896-departamento-en-arriendo-de-2-dorm-en-macul-_JM
4239744448,4160890432,ALTA,Oferta Por 3 Meses!!!!! (165978),,520000.0,60,"Armando Moock, Villa Macul, Macul",https://portalinmobiliario.com/MLC-4239744448-oferta-por-3-meses-165978-_JM
4209022534,2055403725,ALTA,"Dos Dormitorios , A Pasos De Macul",,480000.0,52,"Luis Valenzuela Aris 3000 - 3300, Macul, Villa Macul, Macul",https://portalinmobiliario.com/MLC-4209022534-dos-dormitorios-a-pasos-de-macul-_JM
4230659774,2055403725,ALTA,"Oportunidad, Dpto A Pasos De Av. Macul 2h-2b-e-b",,540000.0,52,"Luis Valenzuela Aris 3268, Macul, Villa Macul, Macul",https://portalinmobiliario.com/MLC-4230659774-oportunidad-dpto-a-pasos-de-av-macul-2h-2b-e-b-_JM
4241427628,2055403725,ALTA,"Dos Dormitorios , Calle Luis Valenzuela",,480000.0,52,"Luis Valenzuela Aris 3000 - 3300, Macul, Villa Macul, Macul",https://portalinmobiliario.com/MLC-4241427628-dos-dormitorios-calle-luis-valenzuela-_JM
2062072381,4187142508,ALTA,Arriendo Moderno Y Cómodo Departamento Semi Amoblado Macul,,450000.0,40,"Los Plátanos 3001, Santiago, Macul, Las Dalias, Macul",https://portalinmobiliario.com/MLC-2062072381-arriendo-moderno-y-comodo-departamento-semi-amoblado-macul-_JM
4218753480,4187142508,ALTA,Departamento Amoblado Con Estacionamiento En Macul,,480000.0,40,"Los Plátanos, 3001, Las Dalias, Macul",https://portalinmobiliario.com/MLC-4218753480-departamento-amoblado-con-estacionamiento-en-macul-_JM
4159981936,4187142508,ALTA,Arriendo Moderno Departamento 1d+1b,,450000.0,40,"Los Plátanos 3001, Santiago, Macul, Las Dalias, Macul",https://portalinmobiliario.com/MLC-4159981936-arriendo-moderno-departamento-1d1b-_JM
2020096181,4225062898,ALTA,Arriendo Departamento 2d 2b 1e En Macul.,,535000.0,70,"Luis Valenzuela Aris 3220, Santiago, Macul, Villa Macul, Macul",https://portalinmobiliario.com/MLC-2020096181-arriendo-departamento-2d-2b-1e-en-macul-_JM
4170360546,4225062898,ALTA,Arriendo Lindo Departamento De 2d/2b En Macul,,540000.0,70,"MACUL/LUIS VALENZUELA ARIS, Villa Macul, Macul",https://portalinmobiliario.com/MLC-4170360546-arriendo-lindo-departamento-de-2d2b-en-macul-_JM
2082159981,4225062898,ALTA,"Dos Dormitorios Con Estacionamiento, Entrega Inmediata",,535000.0,70,"Luis Valenzuela Aris 3000 - 3300, Santiago, Macul, Villa Macul, Macul",https://portalinmobiliario.com/MLC-2082159981-dos-dormitorios-con-estacionamiento-entrega-inmediata-_JM
3927238500,1942669479,ALTA,Oportunidad Única Para Inversión Segura (161294),,210000000.0,69,"Cristina Beud 8400 - 8700, La Florida, Chile, Rojas Magallanes, La Florida",https://portalinmobiliario.com/MLC-3927238500-oportunidad-unica-para-inversion-segura-161294-_JM
4160978268,1942669479,ALTA,"Oportunidad De Inversión, Excelente, La Florida",,210000000.0,69,"Vicuña Mackenna Con Los Pioneros, Rojas Magallanes, La Florida",https://portalinmobiliario.com/MLC-4160978268-oportunidad-de-inversion-excelente-la-florida-_JM
4089217660,1942669479,ALTA,Casa En Venta De 3 Dorm. 1 Baño,,210000000.0,69,"Los Pioneros 30, Rojas Magallanes, La Florida",https://portalinmobiliario.com/MLC-4089217660-casa-en-venta-de-3-dorm-1-bano-_JM
4212554520,4155624476,ALTA,Casa En Venta De 3 Dorm. En La Florida,,140000000.0,85,"NEMECIO VICUÑA, La Florida",https://portalinmobiliario.com/MLC-4212554520-casa-en-venta-de-3-dorm-en-la-florida-_JM
4223648152,4155624476,ALTA,Casa En Venta De 3 Dorm. En La Florida,,140000000.0,85,"NEMECIO VICUÑA, La Florida",https://portalinmobiliario.com/MLC-4223648152-casa-en-venta-de-3-dorm-en-la-florida-_JM
4241419498,4155624476,ALTA,Casa En Venta De 3 Dorm. En La Florida,,140000000.0,85,"NEMECIO VICUÑA, La Florida",https://portalinmobiliario.com/MLC-4241419498-casa-en-venta-de-3-dorm-en-la-florida-_JM
