sitio,id_aviso,url,operacion,tipo,comuna,barrio,direccion,titulo,precio_valor,precio_moneda,precio_clp,precio_uf,m2_util,m2_total,dormitorios,banos,estacionamientos,bodegas,antiguedad_anos,ano_construccion,gastos_comunes_clp,lat,lon,descripcion,publica,detalle_ok,fecha_scrape,antiguedad_aviso_dias,fecha_publicacion
pi,4161007982,https://portalinmobiliario.com/MLC-4161007982-brown-sur-casa-2-pisos-terreno-351-m2-_JM,venta,casa,nunoa,Parque Juan XXIII,"Los Talaveras 919, Ñuñoa, Parque Juan XXIII, Ñuñoa",Brown Sur Casa 2 Pisos Terreno 351 M2,9900.0,UF,404363421,9900.0,161,351,SIN_DATO,SIN_DATO,3,1,75,1951,0,-33.4641058,-70.5918346,"Acogedora casa en tradicional barrio de Ñuñoa

Encantadora casa de 2 pisos, ubicada en calle Brown Sur, dentro de un tranquilo y consolidado barrio residencial de Ñuñoa.

A solo 600 metros de la futura estación de Metro Línea 7 (Macul con Grecia) y a 13 minutos caminando de Plaza Ñuñoa, epicentro cultural y gastronómico de la comuna.

Entorno privilegiado:
- Cercano a colegios, jardines infantiles y supermercado Jumbo.
- Cine y variada oferta gastronómica y bohemia en los alrededores.

Características de la propiedad
- Terreno: 351 m²
- Construcción: 161 m2
- 3 dormitorios más sala de estar
- 3 baños
- Cocina amplia con comedor de diario
- Living comedor con gran luminosidad natural
- Orientación: Norte, Poniente y Oriente
- Estacionamiento para 2 vehículos
- Piscina en excelentes condiciones
- Conexión a gas natural

IMPORTANTE: De los 161 m2 de construcción, sólo 91 m2 tienen recepción final. El resto está actualmente en proceso de regularización en la Dirección de Obras de la Municipalidad de Ñuñoa.

VENDE AMG PROPIEDADES LTDA
Agenda tu visita con nosotros",SIN_DATO,1,2026-07-26,18,2026-07-08
pi,2016676099,https://portalinmobiliario.com/MLC-2016676099-paraiso-en-lo-mejor-de-nunoa-con-gran-terreno-_JM,venta,casa,nunoa,Plaza Ñuñoa,"Galicia Con Doctor Johow, Plaza Ñuñoa, Ñuñoa",Paraíso En Lo Mejor De Ñuñoa Con Gran Terreno,14000.0,UF,571827060,14000.0,356,467,SIN_DATO,SIN_DATO,SIN_DATO,1,81,1945,SIN_DATO,-33.4586524,-70.5935998,"MAGNITUD EN NUNOA: 356 m2 Construidos y 445 m2 de terreno. A Pasos de Plaza Nuñoa.

BUSCAS ESPACIO REAL Y LA MEJOR UBICACIÓN? Como experto, te aseguro que esta propiedad es un hallazgo único. No es solo una casa, es una estructura imponente de 356 m2 construidos sobre un terreno de 445 m2. Una escala de dimensiones que simplemente ya no existe en los nuevos desarrollos de la zona. En Wingss, elevamos tu estándar de vida.

SOLIDEZ Y VERSATILIDAD TOTAL. Esta propiedad destaca por su materialidad noble y una capacidad de adaptación inigualable:
Espacio Monumental: 356 m2 de construcción sólida, con 5 dormitorios y 3 baños de gran amplitud.
Departamento Independiente: El ""plus"" definitivo. Una unidad autónoma ideal para visitas, una oficina de alto nivel o para generar renta independiente.
Oasis Privado: En sus 445 m2 de terreno brilla una gran piscina, rodeada de espacio para el quincho de tus sueños. Un patio diseñado para el relajo absoluto.

UBICACIÓN ÉLITE: EL CORAZÓN DE LA COMUNA. Vivir aquí es tener la mejor cartelera de Santiago a tu disposición:
Plaza Nuñoa a Pasos: Estás literalmente caminando del epicentro cultural, gastronómico y social de la comuna.
Conectividad y Comercio: Cercanía estratégica al Portal Nuñoa, estaciones de Metro y servicios esenciales.
Entorno: Un barrio residencial clásico que combina tranquilidad con la mejor oferta de ocio de la capital.

LA OPINIÓN DEL EXPERTO: ""Tener 356 m2 construidos y estar a pasos de Plaza Nuñoa es una combinación ganadora. Es la inversión ideal para quien busca plusvalía garantizada y un estilo de vida conectado con la cultura y el relajo."" 

- KP525018 - KPT072607 - 
 - Publicado con KiteProp CRM Sistema Inmobiliario",SIN_DATO,1,2026-07-26,34,2026-06-22
pi,3804135116,https://portalinmobiliario.com/MLC-3804135116-residencial-o-comercial-vive-el-estilo-art-deco-_JM,venta,casa,nunoa,Parque Juan XXIII,"Av. Presidente Batlle Y Ordoñez, 3600 - 3900, Parque Juan XXIII, Ñuñoa","Residencial O Comercial, Vive El Estilo Art Decó!!",13900.0,UF,567742581,13900.0,254,490,6,4,4,SIN_DATO,0,2026,SIN_DATO,-33.4495254,-70.5888929,"Casa Ubicada en Diagonal Oriente con Pedro Torres 

cuenta dos pisos
Metraje útil 254 m2
Metraje total 490 m2
Año Construcción 1940
Estación de metro a 15 minutos
4 Dormitorios/2 baños
2 dormitorios cada uno con baño en construcción independiente.

""Descubra una pieza única de la historia arquitectónica chilena en el corazón de Ñuñoa, estratégicamente ubicada en la prestigiosa zona de Av. Presidente Batlle y Ordóñez. 
Esta excepcional propiedad, construida en la década de 1940. Desde el primer vistazo, su imponente fachada en estuco blanco revela la elegancia de la época: un distintivo volumen curvo central con una majestuosa ventanal vertical , que no solo inunda de luz los interiores, sino que también crea un diálogo visual único con el entorno. Las sutiles líneas horizontales en su base y la armoniosa cubierta de tejas son testimonio de una arquitectura pensada, que prioriza la forma, la luz y la funcionalidad sin renunciar a la calidez local.

Esta casa no es solo una vivienda residencial; es una oportunidad excepcional para quienes buscan un desarrollo comercial con carácter, historia y una personalidad inconfundible!. 
Ideal para:
1. Comercio de variadas industrias, desde clínica estéticas y/o dental, restaurantes, gimnasios de cros fit, pilates, etc. Posee CIP acorde a un amplio rubro de comercios. Existe opción de arriendo comercial por 105 UF.
2.. Familias que sueñan con restaurar y personalizar un espacio único: Con la visión adecuada, esta propiedad puede transformarse en un hogar contemporáneo de ensueño, respetando su valioso legado arquitectónico.
Amantes del diseño y la arquitectura: Un lienzo en blanco para un proyecto de renovación que destaque su estilo original y lo adapte a las comodidades actuales.
3.Inversionistas con visión comercial/cultural: Su excelente ubicación y su singularidad la hacen perfecta para ser adaptada como una oficina boutique, centro cultural, galería de arte, estudio de diseño o incluso un café con encanto",SIN_DATO,1,2026-07-26,180,2026-01-27
pi,2016676047,https://portalinmobiliario.com/MLC-2016676047-hermosa-casa-en-venta-nunoa-_JM,venta,casa,nunoa,Villa Frei,"Juan Francisco González, Villa Frei, Ñuñoa",Hermosa Casa En Venta Ñuñoa,19500.0,UF,796473405,19500.0,274,590,SIN_DATO,SIN_DATO,SIN_DATO,1,81,1945,SIN_DATO,-33.4482068,-70.5797528,"Orientación: todas
Superficie construida: 274 m2
Superficie terreno: 590 m2

Casa estilo español californiano, ubicada en una calle tranquila y residencial. Construida en 1945 y remodelada el año 2000, se encuentra muy bien mantenida y con detalles originales que le dan mucho carácter.

Cuenta con amplios espacios exteriores: antejardín con estacionamientos, porche de acceso, patio lateral y un gran jardín trasero con terraza y quincho techado.


Distribución:
* Hall de acceso en doble altura
* Living amplio e iluminado
* Comedor independiente
* Gran cocina con comedor de diario
* Sala de estar con salida a patio
* 5 dormitorios (principal en suite con espacio para escritorio)
* 2 baños completos + 1 baño de visita

Exterior:

* Hasta 6 estacionamientos
* Terraza techada
* Quincho techado
* Jardín trasero
* Patio lateral con cerámica

Equipamiento:

* Piso de parquet en áreas principales
* Cocina con tragaluz
* Calefacción por radiadores
* Ventanas con rejas 

- KP525107 - KPT072607 - 
 - Publicado con KiteProp CRM Sistema Inmobiliario",SIN_DATO,1,2026-07-26,34,2026-06-22
pi,2063337783,https://portalinmobiliario.com/MLC-2063337783-casa-450-mts2-de-terreno-j-domingo-canas-_JM,venta,casa,nunoa,Metro Monseñor Eyzaguirre,"Jose Domingo Cañas, 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa","Casa 450 Mts2 De Terreno, J. Domingo Cañas",12452.0,UF,508599325,12452.0,245,460,5,SIN_DATO,3,1,86,1940,SIN_DATO,-33.4567032,-70.6114005,"Se vende casa PATRIMONIAL de 2 pisos, de 245 Mts2 Construido y 450 Mts2 de Terreno. Construcción de 1940. 4 Dormitorios y 4 Baños. Cuenta con Subterraneo y con un Local Comercial Anexo a la Casa (Con Acceso Independiente). A pasos de Metro Monseñor Eyzaguirre.


- Año 1940
- 245 Mts2 Construidos
- 450 Mts2 Terreno 

DISTRIBUCIÓN

Primer Piso:
- Hall de Acceso
- Living con salida a Patio.
- Comedor Independiente.
- Gran Cocina con Logia. 
- Baño.
- SUBTERRANEO

Segundo Piso:
- Dormitorio Principal.
- 3 Amplios Dormitorios. 
- 2 Baños. 

- Local Comercial Anexo a la Casa (Acceso Independiente a la Casa).


Si buscas una propiedad con carácter, espacios generosos y un gran potencial para desarrollar proyectos comerciales o profesionales, esta casa reúne atributos difíciles de encontrar en el mercado actual.

Ubicada en un tradicional barrio patrimonial, combina el encanto de la arquitectura clásica con la versatilidad que demandan los estilos de vida y negocios de hoy.

 Características de la Propiedad

 Amplio living y comedor independientes
 Hall de acceso
 4 dormitorios, incluyendo dormitorio principal en suite
 4 baños (3 completos con tina)
 Cocina amoblada y funcional
 Loggia con conexión para lavadora
 Sótano de gran capacidad, ideal para oficina, estudio, taller creativo, bodega o sala multipropósito
 Departamento independiente adosado con baño
 2 bodegas
 Estacionamiento para 3 vehículos, uno de ellos techado e independiente
 Local comercial integrado a la propiedad
460 m2 de terreno
245 m2 construidos

 Gran Potencial Comercial y Profesional

Su distribución y ubicación permiten desarrollar múltiples proyectos, tales como:

 Cafetería o pastelería boutique
 Minimarket o tienda especializada
 Oficinas profesionales
 Centro de atención o servicios
 Estudio creativo o showroom
 Espacios gastronómicos y emprendimientos de barrio

Una excelente alternativa para quienes desean integrar vivienda, inversión y ac",SIN_DATO,1,2026-07-26,41,2026-06-15
pi,2016676107,https://portalinmobiliario.com/MLC-2016676107-exclusiva-casa-en-nunoa-con-2-cabanas-independientes-_JM,venta,casa,nunoa,Parque Botánico,"Pucará Con Montenegro, Parque Botánico, Ñuñoa",Exclusiva Casa En Ñuñoa Con 2 Cabañas Independientes,18800.0,UF,767882052,18800.0,255,410,SIN_DATO,SIN_DATO,SIN_DATO,1,9,2017,0,-33.4451599,-70.5849619,"EXCLUSIVIDAD, LUZ Y VERSATILIDAD EN NUNOA: UNA CASA QUE LO TIENE TODO
BUSCAS MÁS QUE UNA CASA? Esta propiedad redefine la forma de vivir en Nuñoa. Con 408 m2 de terreno y 255 m2 construidos, combina diseño, amplitud y una energía única en uno de los barrios más cotizados, a pasos del Parque Botánico de Nuñoa.

ESPACIOS QUE SE SIENTEN, CALIDAD QUE SE NOTA.
Remodelada con excelentes materiales y una estética moderna y elegante, cada rincón fue pensado para disfrutar:

5 Dormitorios y 5 Baños distribuidos entre casa principal, cabañas independientes
Oficina privada ideal para home office con baño y kitchenette
Luz natural privilegiada durante todo el día que deja una sensación maravillosa
Ambientes cálidos, acogedores y funcionales

UN EXTERIOR QUE MARCA LA DIFERENCIA.
Disfruta de una terraza perfecta para compartir y una piscina espectacular que transforma cada día en una experiencia. Además, cuenta con estacionamiento para 4 vehículos.

VERSATILIDAD TOTAL: VIVE Y GENERA.
Incluye 2 cabañas o departamentos independientes, ideales para invitados, familia extendida o generar ingresos adicionales. Una propiedad que se adapta a tu estilo de vida.

UBICACIÓN ESTRATÉGICA Y VIDA DE BARRIO.
En un entorno seguro y tranquilo, cercano al Colegio Calasanz, transporte público y servicios, perfecta para familias que buscan calidad de vida sin renunciar a la conectividad.

LA OPINIÓN DEL EXPERTO:
""Propiedades con este nivel de terreno, independencia de espacios y estándar de remodelación en Nuñoa son escasas. Es una oportunidad tanto para vivir como para invertir inteligentemente.""

Una casa que no se explica, se siente. Agenda tu visita y descúbrela. 

- KP524999 - KPT072607 - 
 - Publicado con KiteProp CRM Sistema Inmobiliario",SIN_DATO,1,2026-07-26,34,2026-06-22
pi,3618037828,https://portalinmobiliario.com/MLC-3618037828-venta-linda-casa-en-nunoa-4d2b-mas-servicios-_JM,venta,casa,nunoa,Estadio Nacional,"Prof. Juan Gómez Millas, Metro Estadio Nacional, Ñuñoa, Estadio Nacional, Ñuñoa","Venta Linda Casa En Ñuñoa, 4d/2b Más Servicios",7600.0,UF,310420404,7600.0,100,296,SIN_DATO,2,1,SIN_DATO,54,1972,SIN_DATO,-33.4616128,-70.6023599,"¡Excelente oportunidad de adquirir esta hermosa casa en la comuna de Ñuñoa! 

Impecable, con su instalación eléctrica renovada, lindo piso de parquét, recién pintada... para llegar e instalarse!!!

Excelente ubicación, a pasos del Metro Estadio Nacional, esta propiedad cuenta con 4 dormitorios, 2 baños, además de pieza y baño de servicios, y una distribución en un piso que brinda comodidad y funcionalidad.

Con una orientación NorPoniente-Sur, disfrutarás de una agradable iluminación natural durante todo el día. Además, en sus 296 m2 de terrenos, encontrarás un amplio espacio para adaptarlo a tus necesidades y gustos.

Esta casa es ideal para quienes buscan un lugar tranquilo y familiar para establecerse. ¡No pierdas la oportunidad de visitarla y enamorarte de sus atributos!

FOTOS REALES, no alteramos ESPACIOS ni DIMENSIONES en nuestras imágenes, cuidamos tu confianza desde el primer contacto!!",SIN_DATO,1,2026-07-26,150,2026-02-26
pi,4217817314,https://portalinmobiliario.com/MLC-4217817314-garcia-moreno-san-juan-de-luz-oportunidad-de-precio-_JM,venta,casa,nunoa,Diego De Almagro,"GARCIA MORENO - SAN JUAN DE LUZ / OPORTUNIDAD DE PRECIO, Diego De Almagro, Ñuñoa",Garcia Moreno - San Juan De Luz / Oportunidad De Precio,22000.0,UF,898585380,22000.0,284,738,SIN_DATO,SIN_DATO,SIN_DATO,1,45,1981,SIN_DATO,-33.4360331,-70.582569,"CARACTERISTICAS:

2 PISOS
738 m2 totales
284 m2 utiles
6 dormitorios ( incluido servicio y visita )
5 baños ( incluido servicio )
Logia
Patio 
Piscina
Quincho
Sala de juegos 
2 terrazas techadas
6 estacionamientos

PRIMER PISO

Hall de acceso y distribución
Living Comedor separados en desnivel, con salida a amplio jardín con piscina y terraza.
Cocina amplia con comedor de diario y logia separada
Dormitorio de servicio con baño completo
Baño de visitas
Dormitorio principal en Suite con amplio closet y baño completo con tina y ducha independiente.
Dos dormitorios que actualmente se utilizan como home-office con baño y closet
Sala de estar
Gran sala de juegos
Dos terrazas techadas, una con quincho

SEGUNDO PISO

Dormitorio con closet
Dormitorio amplio con sala de estar y amplio closet
Baño completo bien amplio
Estacionamiento interior para cuatro autos y afuera estacionamiento para dos autos.

Con ubicación privilegiada, en calle residencial, cercano al metro Príncipe de Gales y Francisco Bilbao, supermercados, colegios, colegios.

Los m2 son datos referenciales.
Para mayor información y coordinar visitas contactarse con nosotros.",SIN_DATO,1,2026-07-26,60,2026-05-27
pi,1859417801,https://portalinmobiliario.com/MLC-1859417801-casa-remodelada-de-3-pisos-con-gran-potencial-comercial-_JM,venta,casa,nunoa,Metro Monseñor Eyzaguirre,"José Domingo Cañas 1678, 7750191 Ñuñoa, Región Metropolitana, Chile, Metro Monseñor Eyzaguirre, Ñuñoa",Casa Remodelada De 3 Pisos Con Gran Potencial Comercial,20900.0,UF,853656111,20900.0,350,472,SIN_DATO,SIN_DATO,SIN_DATO,2,90,1936,SIN_DATO,-33.456397,-70.6142094,"- Monseñor Eyzaguirre 485, Ñuñoa

Propiedad de gran presencia arquitectónica, ubicada a pasos del Metro Monseñor Eyzaguirre, en uno de los sectores con mayor consolidación comercial y profesional de Ñuñoa Norte.

Ideal para empresas, centros médicos, cowork, academias o proyectos mixtos habitacional-profesional.

- Superficie total: 472 m²
- Superficie construida: 352 m² aprox.
- Dormitorios / privados: 8
- Baños: 4
- Estacionamientos: 5
- Bodegas: 2
- 3 niveles
- Aire acondicionado instalado

DISTRIBUCIÓN
PRIMER NIVEL

- Recepción amplia
- Sala de reuniones
- Oficina privada
- Cocina equipada y amoblada
- Baño
- Bodega
- Acceso lateral independiente
- Estacionamiento para 5 vehículos

SEGUNDO NIVEL

- Hall de distribución con salida a terraza
- 3 privados amplios
- 2 privados con terraza hacia jardín
- Baño

TERCER NIVEL

- Hall abierto ideal para cowork o estaciones de trabajo
- Oficina privada con terraza
- Excelente iluminación natural

EXTERIOR

- Amplio jardín formado
- Quincho
- Oficina independiente en patio
- 2 baños exteriores
-  Terraza para esparcimiento
- Bodega adicional
- Reja perimetral y protecciones

DESTACA

- Ubicación estratégica a 6 minutos caminando del Metro
- Excelente conectividad vehicular y peatonal
- Uso habitacional y profesional
- Propiedad sólida y con carácter
- Amplios espacios adaptables
- Gran potencial de valorización

Una propiedad versátil, con excelente presencia y proyección comercial en uno de los mejores sectores de Ñuñoa. Ideal para instalar tu empresa o invertir en una zona consolidada.

Te interesa? Contactanos y agenda una visita.",SIN_DATO,1,2026-07-26,150,2026-02-26
pi,3614464750,https://portalinmobiliario.com/MLC-3614464750-casa-remodelada-4d-4b-con-quincho-y-piscina-nunoa-_JM,venta,casa,nunoa,Plaza Ñuñoa,"Julio Zegers 3782, 7790671 Ñuñoa, Región Metropolitana, Chile, Plaza Ñuñoa, Ñuñoa",Casa Remodelada 4d 4b Con Quincho Y Piscina Ñuñoa,15900.0,UF,649432161,15900.0,240,360,SIN_DATO,SIN_DATO,SIN_DATO,1,75,1951,SIN_DATO,-33.4511445,-70.5905972,"CASA REMODELADA CON QUINCHO & PISCINA A PASOS DE PLAZA ÑUÑOA

VIVIR ÑUÑOA EN SU MEJOR VERSIÓN

Ubicada en uno de los sectores más cotizados y residenciales de Ñuñoa, a pasos de Plaza Ñuñoa, Parque Juan XXIII, restaurantes, colegios y excelente conectividad.

Una casa con carácter, completamente remodelada, que combina la arquitectura sólida tradicional con espacios modernos, funcionales y pensados para disfrutar.

- 360 m² terreno
- 240 m² construidos
- 4 dormitorios
- 4 baños
- 3 niveles
- 2 estacionamientos
- Piscina
- Quincho full equipado

DISTRIBUCIÓN

Primer nivel:

- Hall de acceso
- Baño de visitas remodelado
- Amplio living con chimenea y piso de madera
- Comedor independiente
- Cocina remodelada con comedor de diario
- Salida directa a terraza y quincho
- Dormitorio y baño de servicio

Exterior: 

- Gran terraza pavimentada
- Quincho cerrado con parrilla y horno
- Espacio integrado ideal para reuniones todo el año
- Piscina en obra
- Jardín formado
- Patio funcional y privado

Segundo nivel:

- Dormitorio principal amplio
- Baño remodelado
- Dormitorios secundarios de buen tamaño
- Excelente luminosidad natural

Tercer nivel:

- Mansarda habilitada con baño
- Ideal como cuarto dormitorio, sala de estar, home office o espacio independiente

DETALLES QUE MARCAN LA DIFERENCIA:

- Ventanas termopanel
- Aire acondicionado
- Portón automático
- Sistema de alarma
- Orientación Norte

- Barrio residencial consolidado

PERFIL IDEAL:

Perfecta para familias que buscan:

- Vida de barrio caminable
- Espacios sociales reales para recibir seguridad y tranquilidad
- Cercanía a todo sin perder privacidad

Te interesa? Contactanos y agenda una visita!",SIN_DATO,1,2026-07-26,150,2026-02-26
