comuna,titulo,precio_clp,habitaciones,banos,superficie_m2,estacionamientos,fecha_publicacion,codigo_aviso,url,tipo_publicacion,tipo_propiedad,precio_uf
Macul,"Depto 2D/1B con Estacionamiento, Bodega y Walk-In Closet - Macul",480000.0,2.0,1.0,50.0,1.0,26/07/2026,125927696,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/poeta-vicente-huidobro-3500/125927696,arriendo-mensual,departamento,11.751804820149644
Macul,Arrienda Hermoso Departamento Nuevo en Macul,350000.0,1.0,1.0,40.0,,24/07/2026,125733595,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/avenida-departamental-3516/125733595,arriendo-mensual,departamento,8.569024348025783
Macul,"Departamento en Agrícola 1710, Al Lado Inacap, Metro Agricola",500000.0,2.0,2.0,62.0,,22/07/2026,125572512,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/agricola/125572512,arriendo-mensual,departamento,12.241463354322546
Macul,"Departamento en Agrícola 1710, Estación Metro, Lado Inacap.",500000.0,2.0,2.0,62.0,,21/07/2026,125468514,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/avenida-escuela-agricola-1710/125468514,arriendo-mensual,departamento,12.241463354322546
Macul,Depto 2D/2B con Terraza y Estacionamiento en Macul,535000.0,2.0,2.0,70.0,1.0,21/07/2026,125471493,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/luis-valenzuela-aris-3220/125471493,arriendo-mensual,departamento,13.098365789125124
Macul,"Macul, Av. Departamental 3516",350000.0,1.0,1.0,40.0,,14/07/2026,87121339,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/av-departamental-3516/87121339,arriendo-mensual,departamento,8.569024348025783
Macul,Arrienda Hermoso y Nuevo Departamento en Macul,350000.0,1.0,1.0,40.0,,14/07/2026,80780599,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/av-departamental-3516/80780599,arriendo-mensual,departamento,8.569024348025783
Macul,Arrienda Hermos Departamento Nuevo en Macul,350000.0,1.0,1.0,40.0,,14/07/2026,80202187,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/av-departamental-3516/80202187,arriendo-mensual,departamento,8.569024348025783
Macul,"Macul, Avenida Quilin 139",315000.0,1.0,1.0,38.0,,13/07/2026,123076203,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/avenida-quilin-139/123076203,arriendo-mensual,departamento,7.712121913223204
Macul,"Macul, Avenida Escuela Agrícola 1710",500000.0,2.0,2.0,57.0,1.0,08/07/2026,118191283,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/macul/departamento/avenida-escuela-agricola-1710/118191283,arriendo-mensual,departamento,12.241463354322546
