confianza,id_aviso,titulo,comuna,tipo,operacion,precio_uf,precio_clp,m2_util,m2_total,dormitorios,banos,senales,url
ALTA,3585368896,Castillo Velasco,nunoa,casa,venta,5500.0,224646345,21,85,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-3585368896-castillo-velasco-_JM
ALTA,1464544279,Townhouse Coventry,nunoa,casa,venta,11581.0,473023513,99,162,3,3,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-1464544279-townhouse-coventry-_JM
ALTA,1984831109,Eco Quilín - Fundamenta,macul,departamento,venta,3640.0,,35,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | nombre_de_proyecto,https://portalinmobiliario.com/MLC-1984831109-eco-quilin-fundamenta-_JM
ALTA,2928063342,Edificio Urban Up,macul,departamento,venta,3125.0,,34,,1,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-2928063342-edificio-urban-up-_JM
ALTA,1490334957,Almagro Insigne,macul,departamento,venta,4410.0,,54,,2,2,firma_5_campos_vacios | inmobiliaria_en_titulo | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1490334957-almagro-insigne-_JM
ALTA,3940090700,Concepto New Life Macul,macul,departamento,venta,3698.0,,44,,2,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3940090700-concepto-new-life-macul-_JM
ALTA,3433106196,Edificio Exequiel Fernandez 3430,macul,departamento,venta,3562.0,,34,,1,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3433106196-edificio-exequiel-fernandez-3430-_JM
ALTA,1568725024,Macul Urbano,macul,departamento,venta,2750.0,,31,,1,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-1568725024-macul-urbano-_JM
ALTA,4164845696,Eco Quilín,macul,departamento,venta,3320.0,,37,,1,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-4164845696-eco-quilin-_JM
ALTA,2496487976,Urbano Mackenna,macul,departamento,venta,2620.0,,36,,1,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-2496487976-urbano-mackenna-_JM
ALTA,1419416115,Socovesa Coipué,macul,departamento,venta,3430.0,,33,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1419416115-socovesa-coipue-_JM
ALTA,1851075913,Macul 3803,macul,departamento,venta,3105.0,,32,,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1851075913-macul-3803-_JM
ALTA,3227457630,Condominio Vista Valle Iv,la-florida,casa,venta,8091.0,,105,329,3,3,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3227457630-condominio-vista-valle-iv-_JM
ALTA,4027741152,Condominio Alonso De Ercilla,la-florida,casa,venta,5120.0,,69,84,3,2,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-4027741152-condominio-alonso-de-ercilla-_JM
ALTA,1572694927,Terrazas De Lientur Townhouse,la-florida,casa,venta,6350.0,,113,82,3,3,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-1572694927-terrazas-de-lientur-townhouse-_JM
ALTA,4191178072,Entre Vicuñas - Euro,la-florida,departamento,venta,3093.0,,13,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | titulo_corto_tipo_nombre | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-4191178072-entre-vicunas-euro-_JM
ALTA,3625552360,Los Lilenes - Ingevec,la-florida,departamento,venta,3180.0,,32,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3625552360-los-lilenes-ingevec-_JM
ALTA,3706258960,El Aromo - Ingevec,la-florida,departamento,venta,3236.0,,31,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3706258960-el-aromo-ingevec-_JM
ALTA,3225188606,Edificio Vicuña Mackenna 6896 - Norte Verde,la-florida,departamento,venta,3081.0,,23,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3225188606-edificio-vicuna-mackenna-6896-norte-verde-_JM
ALTA,3259428136,Froilán Roa 5731 - Euro,la-florida,departamento,venta,3049.0,,29,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo,https://portalinmobiliario.com/MLC-3259428136-froilan-roa-5731-euro-_JM
ALTA,3622176108,Vespucio Capital - Ingevec,la-florida,departamento,venta,3256.0,,31,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3622176108-vespucio-capital-ingevec-_JM
ALTA,1933353649,Edificio Mirador Azul - Ebco,la-florida,departamento,venta,3069.0,,29,,1,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-1933353649-edificio-mirador-azul-ebco-_JM
ALTA,1975383239,Puerta La Florida - Ssilva,la-florida,departamento,venta,2256.0,,20,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-1975383239-puerta-la-florida-ssilva-_JM
ALTA,3899679432,Eco Florida - Fundamenta,la-florida,departamento,venta,2859.0,,28,,2,1,firma_5_campos_vacios | inmobiliaria_en_titulo | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3899679432-eco-florida-fundamenta-_JM
ALTA,1710981805,Mirador La Florida,la-florida,departamento,venta,2658.0,,20,,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre | m2_util_minimo_de_rango,https://portalinmobiliario.com/MLC-1710981805-mirador-la-florida-_JM
ALTA,3894975288,Socovesa Plaza Mirador,la-florida,departamento,venta,2690.0,,33,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3894975288-socovesa-plaza-mirador-_JM
ALTA,2074130965,Las Acacias 7894,la-florida,departamento,venta,2668.0,,29,,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2074130965-las-acacias-7894-_JM
ALTA,4042605914,Eco Valdés - Fundamenta,la-florida,departamento,venta,2738.0,,26,,2,1,firma_5_campos_vacios | inmobiliaria_en_titulo | nombre_de_proyecto,https://portalinmobiliario.com/MLC-4042605914-eco-valdes-fundamenta-_JM
ALTA,1599992660,Convet Vicuña Mackenna 8656,la-florida,departamento,venta,3600.0,,50,,2,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1599992660-convet-vicuna-mackenna-8656-_JM
ALTA,3453633704,Rojas Magallanes,la-florida,departamento,venta,4872.0,,77,,3,2,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3453633704-rojas-magallanes-_JM
ALTA,2150791498,Vicuña Mackenna 7244,la-florida,departamento,venta,1890.0,,25,,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2150791498-vicuna-mackenna-7244-_JM
ALTA,3945752310,Eco Florida,la-florida,departamento,venta,2286.0,,28,,2,1,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3945752310-eco-florida-_JM
ALTA,1511372833,Serafín Zamora 22,la-florida,departamento,venta,2390.0,,26,,2,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1511372833-serafin-zamora-22-_JM
ALTA,2851468238,Rodríguez Velasco 10,la-florida,departamento,venta,2890.0,,31,,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-2851468238-rodriguez-velasco-10-_JM
ALTA,3453124374,Oasis Plaza,la-florida,departamento,venta,2744.0,,41,,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3453124374-oasis-plaza-_JM
ALTA,3259336212,Edificio Don Pepe 154 - Euro,la-florida,departamento,venta,3290.0,,28,,1,1,firma_5_campos_vacios | inmobiliaria_en_titulo | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3259336212-edificio-don-pepe-154-euro-_JM
ALTA,3479994056,Mirador 950,la-florida,departamento,venta,1810.0,,22,,2,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-3479994056-mirador-950-_JM
ALTA,3309205568,Alto Lo Cañas,la-florida,departamento,venta,3228.0,,48,,2,2,firma_5_campos_vacios | nombre_de_proyecto,https://portalinmobiliario.com/MLC-3309205568-alto-lo-canas-_JM
ALTA,1997630443,Froilán Lagos 1360,la-florida,departamento,venta,2623.0,,25,,1,1,firma_5_campos_vacios | titulo_corto_tipo_nombre,https://portalinmobiliario.com/MLC-1997630443-froilan-lagos-1360-_JM
